"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33250929068028","1.34939134730788","1.36045268088827","1.39036898324002","1.44055465679405","1.4483451718239","1.45248322514696","1.4618826836397","1.46644903102013","1.46777422463721","1.47724681074554","1.47807192158481","1.50323191979016","1.5236082133036","1.5214104780524","1.52148463999115","1.52711625996027","1.56482763307525","1.64193775601414","1.61260891639224","1.61955971599788","1.63776314258575","1.54336678981781","1.51320052146912","1.50940573215485","1.52764415740967","1.49679362773895","1.48048067092896","1.49758378186287","1.5335516651578","","",
"Africa Eastern and Southern","AFE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3593671618153","12.3804110013373","12.8072182378051","13.5329083306492","16.4756068610165","15.4082100528706","15.4898435276216","16.7883129958098","17.0900128743571","17.6560846459086","17.7527373803577","17.1944361688719","17.3020484780418","17.3601853467702","17.0523677140978","17.1344642539802","","",
"Africa Western and Central","AFW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0303891751807534","0.0947795215944974","0.193460515043191","0.659198151334086","2.71005677166778","6.6564251275205","13.6880053329838","26.5306601721104","37.0896897625751","44.1066498676292","48.413344891512","52.8374258959271","57.2321338484333","65.322520105646","73.5679185537289","80.9318008422852","78.6273651123047","79.5401992797852","77.4686431884766","77.7847595214844","91.6264572143555","107.269989013672","125.265871114896","144.052274320717","","",
"Albania","ALB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89141222241573","15.4774839416264","27.8131324040441","33.2229123519046","34.8347846102263","38.1494394248403","49.6469366562824","58.0953520777589","58.4070238247454","57.3656588608346","57.4379425133916","57.858615437693","57.6126244217612","56.7181022376576","56.6840552262908","57.1832321063052","57.7004267162965","57.6514386882208","57.9816625027288","56.7543775100402","55.5878229045367","53.8628745314642","54.1703976516207","54.2521139606425","52.5250552460394","52.8856523179806","52.7655665294307","52.6384071554027","53.3927890902298","54.4814469350278","53.8599432085028",
"Andorra","AND","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24116408196908","2.4227059876281","2.46932371720142","2.45080962424425","2.396653175354","2.39020156860352","2.4637405872345","2.72444534301758","2.83104109764099","2.85650634765625","2.83484387397766","2.85216826540857","2.74730366786409","2.65739493873402","",
"Argentina","ARG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1611635684967","3.66416144371033","4.56208276748657","6.35988330841064","7.95026302337646","10.8105688095093","10.8079395294189","","","","",
"Armenia","ARM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1069177783439","37.4745342626538","100.589515950622","115.981184799787","129.153828385528","138.209282681406","136.126728651715","130.638643903581","131.044859111766","130.36634770984","133.49128542796","139.060971347091","135.357145547728","134.919722098123","136.959125876679","143.700112317771","149.125851471335","158.715910129592","165.629043579102","158.207962036133","179.036331176758","184.060440063477","185.826934814453","173.75080871582","167.312210083008","167.439031178434","166.832567595181","166.796066755873","170.75811581848",
"American Samoa","ASM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92116932502225","","","","","","","","","","",
